device_time,humidity,temperature,hour,Temp_MA_2,Humidity_MA_2,Temp_rate,Humidity_rate,Temp_phase,Humidity_phase,daytime_labels,Temp_group,Humidity_group
2025-10-05 00:00:00,81.0,27.0,0,,,,,Neutral,Moderate,late night,1,1
2025-10-05 01:00:00,81.3,27.0,1,27.0,81.15,,,Neutral,Moderate,late night,1,1
2025-10-05 02:00:00,81.6,27.0,2,27.0,81.44999999999999,0.0,0.29999999999998295,Neutral,Moistening,late night,1,2
2025-10-05 03:00:00,81.8,27.0,3,27.0,81.69999999999999,0.0,0.25,Neutral,Moistening,late night,1,2
2025-10-05 04:00:00,82.0,27.0,4,27.0,81.9,0.0,0.20000000000001705,Neutral,Moistening,early morning,1,2
2025-10-05 05:00:00,82.2,27.0,5,27.0,82.1,0.0,0.19999999999998863,Neutral,Moistening,early morning,1,2
2025-10-05 06:00:00,82.3,27.1,6,27.05,82.25,0.05000000000000071,0.15000000000000568,Heating,Moistening,early morning,2,2
2025-10-05 07:00:00,82.5,27.1,7,27.1,82.4,0.05000000000000071,0.15000000000000568,Heating,Moistening,morning,2,2
2025-10-05 08:00:00,82.5,27.2,8,27.15,82.5,0.04999999999999716,0.09999999999999432,Neutral,Moistening,morning,3,2
2025-10-05 09:00:00,82.6,27.3,9,27.25,82.55,0.10000000000000142,0.04999999999999716,Heating,Moderate,morning,4,3
2025-10-05 10:00:00,81.0,27.8,10,27.55,81.8,0.3000000000000007,-0.75,Heating,Drying,morning,4,4
2025-10-05 11:00:00,80.5,28.0,11,27.9,80.75,0.34999999999999787,-1.0499999999999972,Heating,Drying,morning,4,4
2025-10-05 12:00:00,81.9,27.6,12,27.8,81.2,-0.09999999999999787,0.45000000000000284,Cooling,Moistening,morning,5,5
2025-10-05 13:00:00,81.4,27.7,13,27.65,81.65,-0.15000000000000213,0.45000000000000284,Cooling,Moistening,afternoon,5,5
2025-10-05 14:00:00,71.1,25.5,14,26.6,76.25,-1.0499999999999972,-5.400000000000006,Cooling,Drying,afternoon,5,6
2025-10-05 15:00:00,77.7,24.5,15,25.0,74.4,-1.6000000000000014,-1.8499999999999943,Cooling,Drying,afternoon,5,6
2025-10-05 16:00:00,73.1,24.2,16,24.35,75.4,-0.6499999999999986,1.0,Cooling,Moistening,evening,5,7
2025-10-05 17:00:00,78.8,24.3,17,24.25,75.94999999999999,-0.10000000000000142,0.549999999999983,Cooling,Moistening,evening,5,7
2025-10-05 18:00:00,89.0,26.0,18,25.15,83.9,0.8999999999999986,7.950000000000017,Heating,Moistening,evening,6,7
2025-10-05 19:00:00,86.9,26.3,19,26.15,87.95,1.0,4.049999999999997,Heating,Moistening,evening,6,7
2025-10-05 20:00:00,86.4,26.5,20,26.4,86.65,0.25,-1.2999999999999972,Heating,Drying,evening,6,8
2025-10-05 21:00:00,86.0,26.7,21,26.6,86.2,0.20000000000000284,-0.45000000000000284,Heating,Drying,evening,6,8
2025-10-05 22:00:00,85.9,26.7,22,26.7,85.95,0.09999999999999787,-0.25,Heating,Drying,night,6,8
2025-10-05 23:00:00,85.7,26.8,23,26.75,85.80000000000001,0.05000000000000071,-0.14999999999999147,Heating,Drying,night,6,8
2025-10-06 00:00:00,85.8,26.9,0,26.85,85.75,0.10000000000000142,-0.05000000000001137,Heating,Drying,late night,6,8
2025-10-06 01:00:00,85.8,26.9,1,26.9,85.8,0.04999999999999716,0.04999999999999716,Neutral,Moderate,late night,7,9
2025-10-06 02:00:00,85.7,27.0,2,26.95,85.75,0.05000000000000071,-0.04999999999999716,Heating,Moderate,late night,8,9
2025-10-06 03:00:00,85.7,27.0,3,27.0,85.7,0.05000000000000071,-0.04999999999999716,Heating,Moderate,late night,8,9
2025-10-06 04:00:00,85.6,27.0,4,27.0,85.65,0.0,-0.04999999999999716,Neutral,Moderate,early morning,9,9
2025-10-06 05:00:00,85.6,27.0,5,27.0,85.6,0.0,-0.05000000000001137,Neutral,Drying,early morning,9,10
2025-10-06 06:00:00,77.7,26.0,6,26.5,81.65,-0.5,-3.9499999999999886,Cooling,Drying,early morning,10,10
2025-10-06 07:00:00,75.7,24.0,7,25.0,76.7,-1.5,-4.950000000000003,Cooling,Drying,morning,10,10
2025-10-06 08:00:00,76.8,23.6,8,23.8,76.25,-1.1999999999999993,-0.45000000000000284,Cooling,Drying,morning,10,10
2025-10-06 09:00:00,80.9,24.3,9,23.950000000000003,78.85,0.15000000000000213,2.5999999999999943,Heating,Moistening,morning,11,11
2025-10-06 10:00:00,76.8,25.0,10,24.65,78.85,0.6999999999999957,0.0,Heating,Moderate,morning,11,12
2025-10-06 11:00:00,75.1,24.2,11,24.6,75.94999999999999,-0.04999999999999716,-2.9000000000000057,Neutral,Drying,morning,12,13
2025-10-06 12:00:00,74.4,24.3,12,24.25,74.75,-0.3500000000000014,-1.1999999999999886,Cooling,Drying,morning,13,13
2025-10-06 13:00:00,74.6,23.9,13,24.1,74.5,-0.14999999999999858,-0.25,Cooling,Drying,afternoon,13,13
2025-10-06 14:00:00,68.7,23.1,14,23.5,71.65,-0.6000000000000014,-2.8499999999999943,Cooling,Drying,afternoon,13,13
2025-10-06 15:00:00,72.5,22.9,15,23.0,70.6,-0.5,-1.0500000000000114,Cooling,Drying,afternoon,13,13
2025-10-06 16:00:00,73.3,22.9,16,22.9,72.9,-0.10000000000000142,2.3000000000000114,Cooling,Moistening,evening,13,14
2025-10-06 17:00:00,77.4,23.4,17,23.15,75.35,0.25,2.4499999999999886,Heating,Moistening,evening,14,14
2025-10-06 18:00:00,76.7,23.8,18,23.6,77.05000000000001,0.45000000000000284,1.700000000000017,Heating,Moistening,evening,14,14
2025-10-06 19:00:00,83.0,24.2,19,24.0,79.85,0.3999999999999986,2.799999999999983,Heating,Moistening,evening,14,14
2025-10-06 20:00:00,80.7,24.0,20,24.1,81.85,0.10000000000000142,2.0,Heating,Moistening,evening,14,14
2025-10-06 21:00:00,83.7,24.3,21,24.15,82.2,0.04999999999999716,0.3500000000000085,Neutral,Moistening,evening,15,14
2025-10-06 22:00:00,85.6,24.3,22,24.3,84.65,0.15000000000000213,2.450000000000003,Heating,Moistening,night,16,14
2025-10-06 23:00:00,82.7,24.5,23,24.4,84.15,0.09999999999999787,-0.5,Heating,Drying,night,16,15
2025-10-07 00:00:00,83.1,25.3,0,24.9,82.9,0.5,-1.25,Heating,Drying,late night,16,15
2025-10-07 01:00:00,83.3,25.6,1,25.450000000000003,83.19999999999999,0.5500000000000043,0.29999999999998295,Heating,Moistening,late night,16,16
2025-10-07 02:00:00,83.4,25.8,2,25.700000000000003,83.35,0.25,0.15000000000000568,Heating,Moistening,late night,16,16
2025-10-07 03:00:00,83.7,25.9,3,25.85,83.55000000000001,0.14999999999999858,0.20000000000001705,Heating,Moistening,late night,16,16
